From,To
O60885,7EIL
O60885,7FH2
O60885,7JKW
O60885,7JKX
O60885,7JKY
O60885,7JKZ
O60885,7K6G
O60885,7K6H
O60885,7KHH
O60885,7KHL
O60885,7KO0
O60885,7L9M
O60885,7LA9
O60885,7LH8
O60885,7M16
O60885,7MCE
O60885,7MCF
O60885,7MLQ
O60885,7MLR
O60885,7MLS
O60885,7MR5
O60885,7MR6
O60885,7MR7
O60885,7MR8
O60885,7MR9
O60885,7MRA
O60885,7MRB
O60885,7O18
O60885,7OEO
O60885,7P6V
O60885,7P6W
O60885,7P6Y
O60885,7Q3F
O60885,7R9C
O60885,7REK
O60885,7REL
O60885,7REM
O60885,7RJO
O60885,7RJP
O60885,7RJQ
O60885,7RJR
O60885,7RMD
O60885,7RN2
O60885,7RUH
O60885,7RUI
O60885,7RXR
O60885,7RXS
O60885,7RXT
O60885,7T3F
O60885,7TUQ
O60885,7TV0
O60885,7UTY
O60885,7UZN
O60885,7V1U
O60885,7V2J
O60885,7W3D
O60885,7WJS
O60885,7WKY
O60885,7WL4
O60885,7WWZ
O60885,7ZNT
O60885,8EAD
Q16678,3PM0
Q16678,6IQ5
Q9Y6A5,5LXN
Q9Y6A5,5LXO
Q9Y6A5,5ODS
Q9Y6A5,5ODT
P61964,2CNX
P61964,2CO0
P61964,2G99
P61964,2G9A
P61964,2GNQ
P61964,2H13
P61964,2H14
P61964,2H68
P61964,2H6K
P61964,2H6N
P61964,2H6Q
P61964,2H9L
P61964,2H9M
P61964,2H9N
P61964,2H9P
P61964,2O9K
P61964,3EG6
P61964,3EMH
P61964,3MXX
P61964,3N0D
P61964,3N0E
P61964,3P4F
P61964,3PSL
P61964,3SMR
P61964,3UR4
P61964,3UVK
P61964,3UVL
P61964,3UVM
P61964,3UVN
P61964,3UVO
P61964,4A7J
P61964,4CY1
P61964,4CY2
P61964,4ERQ
P61964,4ERY
P61964,4ERZ
P61964,4ES0
P61964,4ESG
P61964,4EWR
P61964,4GM3
P61964,4GM8
P61964,4GM9
P61964,4GMB
P61964,4IA9
P61964,4O45
P61964,4QL1
P61964,4Y7R
P61964,5EAL
P61964,5EAM
P61964,5EAP
P61964,5EAR
P61964,5M23
P61964,5M25
P61964,5SXM
P61964,5VFC
P61964,6BYN
P61964,6D9X
P61964,6DAI
P61964,6DAK
P61964,6DAR
P61964,6DAS
P61964,6DY7
P61964,6DYA
P61964,6E1Y
P61964,6E1Z
P61964,6E22
P61964,6E23
P61964,6IAM
P61964,6KIU
P61964,6KIV
P61964,6KIW
P61964,6KIX
P61964,6KIZ
P61964,6OFZ
P61964,6OI0
P61964,6OI1
P61964,6OI2
P61964,6OI3
P61964,6PG3
P61964,6PG4
P61964,6PG5
P61964,6PG6
P61964,6PG7
P61964,6PG8
P61964,6PG9
P61964,6PGA
P61964,6PGB
P61964,6PGC
P61964,6PGD
P61964,6PGE
P61964,6PGF
P61964,6PWV
P61964,6PWW
P61964,6U5M
P61964,6U5Y
P61964,6U6W
P61964,6U80
P61964,6U8B
P61964,6U8L
P61964,6U8O
P61964,6UCS
P61964,6UFX
P61964,6UHY
P61964,6UHZ
P61964,6UIF
P61964,6UIK
P61964,6UJ4
P61964,6UJH
P61964,6UJJ
P61964,6UJL
P61964,6UOZ
P61964,6W5I
P61964,6W5M
P61964,6W5N
P61964,6WJQ
P61964,7AXP
P61964,7AXQ
P61964,7AXS
P61964,7AXU
P61964,7AXX
P61964,7BCY
P61964,7BED
P61964,7CFP
P61964,7CFQ
P61964,7DNO
P61964,7JTO
P61964,7JTP
P61964,7MBM
P61964,7MBN
P61964,7Q2J
P61964,7U9Y
P61964,7UAS
P61964,7UD5
P61964,7WVK
P61964,8BB2
P61964,8BB3
P61964,8BB4
P61964,8BB5
P61964,8DU4
P42336,2ENQ
P42336,2RD0
P42336,3HHM
P42336,3HIZ
P42336,3ZIM
P42336,4JPS
P42336,4L1B
P42336,4L23
P42336,4L2Y
P42336,4OVU
P42336,4OVV
P42336,4TUU
P42336,4TV3
P42336,4WAF
P42336,4YKN
P42336,4ZOP
P42336,5DXH
P42336,5DXT
P42336,5FI4
P42336,5ITD
P42336,5SW8
P42336,5SWG
P42336,5SWO
P42336,5SWP
P42336,5SWR
P42336,5SWT
P42336,5SX8
P42336,5SX9
P42336,5SXA
P42336,5SXB
P42336,5SXC
P42336,5SXD
P42336,5SXE
P42336,5SXF
P42336,5SXI
P42336,5SXJ
P42336,5SXK
P42336,5UBR
P42336,5UK8
P42336,5UKJ
P42336,5UL1
P42336,5XGH
P42336,5XGI
P42336,5XGJ
P42336,6GVF
P42336,6GVG
P42336,6GVH
P42336,6GVI
P42336,6NCT
P42336,6OAC
P42336,6PYS
P42336,6VO7
P42336,7JIU
P42336,7K6M
P42336,7K6N
P42336,7K6O
P42336,7K71
P42336,7L1B
P42336,7L1C
P42336,7L1D
P42336,7MLK
P42336,7MYN
P42336,7MYO
P42336,7PG5
P42336,7PG6
P42336,7R9V
P42336,7R9Y
P42336,7RRG
P42336,7TZ7
P42336,8DCP
P42336,8DCX
P42336,8DD4
P42336,8DD8
O14965,1MQ4
O14965,1MUO
O14965,1OL5
O14965,1OL6
O14965,1OL7
O14965,2BMC
O14965,2C6D
O14965,2C6E
O14965,2DWB
O14965,2J4Z
O14965,2J50
O14965,2NP8
O14965,2W1C
O14965,2W1D
O14965,2W1E
O14965,2W1F
O14965,2W1G
O14965,2WQE
O14965,2WTV
O14965,2WTW
O14965,2X6D
O14965,2X6E
O14965,2X81
O14965,2XNE
O14965,2XNG
O14965,2XRU
O14965,3COH
O14965,3E5A
O14965,3EFW
O14965,3FDN
O14965,3H0Y
O14965,3H0Z
O14965,3H10
O14965,3HA6
O14965,3K5U
O14965,3LAU
O14965,3M11
O14965,3MYG
O14965,3NRM
O14965,3O50
O14965,3O51
O14965,3P9J
O14965,3QBN
O14965,3R21
O14965,3R22
O14965,3UNZ
O14965,3UO4
O14965,3UO5
O14965,3UO6
O14965,3UOD
O14965,3UOH
O14965,3UOJ
O14965,3UOK
O14965,3UOL
O14965,3UP2
O14965,3UP7
O14965,3VAP
O14965,3W10
O14965,3W16
O14965,3W18
O14965,3W2C
O14965,4B0G
O14965,4BN1
O14965,4BYI
O14965,4BYJ
O14965,4C3P
O14965,4C3R
O14965,4CEG
O14965,4DEA
O14965,4DEB
O14965,4DED
O14965,4DEE
O14965,4DHF
O14965,4J8M
O14965,4J8N
O14965,4JAI
O14965,4JAJ
O14965,4JBO
O14965,4JBP
O14965,4JBQ
O14965,4O0S
O14965,4O0U
O14965,4O0W
O14965,4PRJ
O14965,4UYN
O14965,4UZD
O14965,4UZH
O14965,4ZS0
O14965,4ZTQ
O14965,4ZTR
O14965,4ZTS
O14965,5AAD
O14965,5AAE
O14965,5AAF
O14965,5AAG
O14965,5DN3
O14965,5DNR
O14965,5DOS
O14965,5DPV
O14965,5DR2
O14965,5DR6
O14965,5DR9
O14965,5DRD
O14965,5DT0
O14965,5DT3
O14965,5DT4
O14965,5EW9
O14965,5G15
O14965,5G1X
O14965,5L8J
O14965,5L8K
O14965,5L8L
O14965,5LXM
O14965,5OBJ
O14965,5OBR
O14965,5ODT
O14965,5ONE
O14965,5ORL
O14965,5ORN
O14965,5ORO
O14965,5ORP
O14965,5ORR
O14965,5ORS
O14965,5ORT
O14965,5ORV
O14965,5ORW
O14965,5ORX
O14965,5ORY
O14965,5ORZ
O14965,5OS0
O14965,5OS1
O14965,5OS2
O14965,5OS3
O14965,5OS4
O14965,5OS5
O14965,5OS6
O14965,5OSD
O14965,5OSE
O14965,5OSF
O14965,5ZAN
O14965,6C2R
O14965,6C2T
O14965,6C83
O14965,6CPE
O14965,6CPF
O14965,6CPG
O14965,6GRA
O14965,6HJJ
O14965,6HJK
O14965,6I2U
O14965,6R49
O14965,6R4A
O14965,6R4B
O14965,6R4C
O14965,6R4D
O14965,6VPG
O14965,6VPH
O14965,6VPI
O14965,6VPJ
O14965,6VPL
O14965,6VPM
O14965,6XKA
O14965,6Z4Y
O14965,7AYH
O14965,7AYI
O14965,7FIC
O14965,7O2V
Q15118,2Q8F
Q15118,2Q8G
Q15118,2Q8H
Q9NPI1,2I7K
Q9NPI1,5MQ1
Q9NPI1,6PPA
Q9NPI1,6V0Q
Q9NPI1,6V16
Q9NPI1,6V17
Q9NPI1,6V1E
Q9NPI1,6V1F
Q9NPI1,6V1H
Q9NPI1,7VDV
P09874,1UK0
P09874,1UK1
P09874,1WOK
P09874,2COK
P09874,2CR9
P09874,2CS2
P09874,2DMJ
P09874,2JVN
P09874,2L30
P09874,2L31
P09874,2N8A
P09874,2RCW
P09874,2RD6
P09874,2RIQ
P09874,3GJW
P09874,3GN7
P09874,3L3L
P09874,3L3M
P09874,3OD8
P09874,3ODA
P09874,3ODC
P09874,3ODE
P09874,4AV1
P09874,4DQY
P09874,4GV7
P09874,4HHY
P09874,4HHZ
P09874,4L6S
P09874,4OPX
P09874,4OQA
P09874,4OQB
P09874,4PJT
P09874,4R5W
P09874,4R6E
P09874,4RV6
P09874,4UND
P09874,4UXB
P09874,4XHU
P09874,4ZZZ
P09874,5A00
P09874,5DS3
P09874,5HA9
P09874,5KPN
P09874,5KPO
P09874,5KPP
P09874,5KPQ
P09874,5WRQ
P09874,5WRY
P09874,5WRZ
P09874,5WS0
P09874,5WS1
P09874,5WTC
P09874,5XSR
P09874,5XST
P09874,5XSU
P09874,6BHV
P09874,6GHK
P09874,6M3I
P09874,6NRF
P09874,6NRG
P09874,6NRH
P09874,6NRI
P09874,6NRJ
P09874,6NTU
P09874,6VKK
P09874,6VKO
P09874,6VKQ
P09874,6XVW
P09874,7AAA
P09874,7AAB
P09874,7AAC
P09874,7AAD
P09874,7CMW
P09874,7KK2
P09874,7KK3
P09874,7KK4
P09874,7KK5
P09874,7KK6
P09874,7ONR
P09874,7ONS
P09874,7ONT
P09874,7S68
P09874,7S6H
P09874,7S6M
P09874,7S81
P09874,7SCY
P09874,7SCZ
Q9P2K8,6N3L
Q9P2K8,6N3N
Q9P2K8,6N3O
Q9P2K8,7E2K
Q9P2K8,7E2M
Q9P2K8,7QQ6
Q9P2K8,7QWK
P50750,3BLH
P50750,3BLQ
P50750,3BLR
P50750,3LQ5
P50750,3MI9
P50750,3MIA
P50750,3MY1
P50750,3TN8
P50750,3TNH
P50750,3TNI
P50750,4BCF
P50750,4BCG
P50750,4BCH
P50750,4BCI
P50750,4BCJ
P50750,4EC8
P50750,4EC9
P50750,4IMY
P50750,4OGR
P50750,4OR5
P50750,5L1Z
P50750,6CYT
P50750,6GZH
P50750,6W9E
P50750,6Z45
P50750,7NWK
P11362,1AGW
P11362,1CVS
P11362,1EVT
P11362,1FGI
P11362,1FGK
P11362,1FQ9
P11362,1XR0
P11362,2CR3
P11362,2FGI
P11362,3C4F
P11362,3DPK
P11362,3GQI
P11362,3GQL
P11362,3JS2
P11362,3KRJ
P11362,3KRL
P11362,3KXX
P11362,3KY2
P11362,3OJV
P11362,3RHX
P11362,3TT0
P11362,4F63
P11362,4F64
P11362,4F65
P11362,4NK9
P11362,4NKA
P11362,4NKS
P11362,4RWI
P11362,4RWJ
P11362,4RWK
P11362,4RWL
P11362,4UWB
P11362,4UWC
P11362,4UWY
P11362,4V01
P11362,4V04
P11362,4V05
P11362,4WUN
P11362,4ZSA
P11362,5A46
P11362,5A4C
P11362,5AM6
P11362,5AM7
P11362,5B7V
P11362,5EW8
P11362,5FLF
P11362,5O49
P11362,5O4A
P11362,5UQ0
P11362,5UR1
P11362,5VND
P11362,5W21
P11362,5W59
P11362,5Z0S
P11362,5ZV2
P11362,6C18
P11362,6C19
P11362,6C1B
P11362,6C1C
P11362,6C1O
P11362,6ITJ
P11362,6MZQ
P11362,6MZW
P11362,6NVL
P11362,6P68
P11362,6P69
P11362,7OZB
P11362,7OZD
P11362,7OZF
P11362,7WCL
Q13164,2Q8Y
Q13164,4B99
Q13164,4IC7
Q13164,4IC8
Q13164,4ZSG
Q13164,4ZSJ
Q13164,4ZSL
Q13164,5BYY
Q13164,5BYZ
Q13164,5O7I
Q13164,6HKM
Q13164,6HKN
Q13164,7PUS
Q16659,6YKY
Q16659,6YLC
Q16659,6YLL
Q16659,7AQB
O75385,4WNO
O75385,4WNP
O75385,5CI7
O75385,6HYO
O75385,6MNH
O75385,6QAS
O60760,1IYH
O60760,1IYI
O60760,1V40
O60760,2CVD
O60760,2VCQ
O60760,2VCW
O60760,2VCX
O60760,2VCZ
O60760,2VD0
O60760,2VD1
O60760,3EE2
O60760,3KXO
O60760,3VI5
O60760,3VI7
O60760,4EC0
O60760,4EDY
O60760,4EDZ
O60760,4EE0
O60760,5AIS
O60760,5AIV
O60760,5AIX
O60760,5YWE
O60760,5YWX
O60760,5YX1
O60760,6N4E
O60760,6W58
O60760,6W8H
O60760,6ZTC
O60760,7JR6
O60760,7JR8
Q9UHD2,4EFO
Q9UHD2,4EUT
Q9UHD2,4EUU
Q9UHD2,4IM0
Q9UHD2,4IM2
Q9UHD2,4IM3
Q9UHD2,4IW0
Q9UHD2,4IWO
Q9UHD2,4IWP
Q9UHD2,4IWQ
Q9UHD2,5EOA
Q9UHD2,5EOF
Q9UHD2,5EP6
Q9UHD2,5W5V
Q9UHD2,6BNY
Q9UHD2,6BOD
Q9UHD2,6BOE
Q9UHD2,6CQ0
Q9UHD2,6CQ4
Q9UHD2,6CQ5
Q9UHD2,6NT9
Q9UHD2,6O8B
Q9UHD2,6RSR
Q9UHD2,6RST
Q9UHD2,6RSU
P45983,1UKH
P45983,1UKI
P45983,2G01
P45983,2GMX
P45983,2H96
P45983,2NO3
P45983,2XRW
P45983,2XS0
P45983,3ELJ
P45983,3O17
P45983,3O2M
P45983,3PZE
P45983,3V3V
P45983,3VUD
P45983,3VUG
P45983,3VUH
P45983,3VUI
P45983,3VUK
P45983,3VUL
P45983,3VUM
P45983,4AWI
P45983,4E73
P45983,4G1W
P45983,4HYS
P45983,4HYU
P45983,4IZY
P45983,4L7F
P45983,4QTD
P45983,4UX9
P45983,4YR8
P45983,5LW1
P45983,6F5E
P45983,6ZR5
O00418,5J8H
O00418,5KS5
O00418,6NX4
O00418,7SHQ
O00444,2N19
O00444,3COK
O00444,4JXF
O00444,4N7V
O00444,4N7Z
O00444,4N9J
O00444,4YUR
O00444,4YYP
O00444,5LHY
O00444,5LHZ
O00444,6N45
O00444,6N46
O00444,6W38
O00444,6W3I
O00444,6W3J
Q15059,2E7N
Q15059,2NXB
Q15059,2OO1
Q15059,2YW5
Q15059,3S91
Q15059,3S92
Q15059,5A7C
Q15059,5HFR
Q15059,5HJC
Q15059,6BGG
Q15059,6BGH
Q15059,6I41
Q15059,6I5P
Q15059,6I68
Q15059,6I7A
Q15059,6QJU
Q15059,6U4A
Q15059,6ULP
Q15059,7JMY
Q15059,7JQ8
Q15059,7JYN
Q15059,7JYZ
Q15059,7L72
Q15059,7L9L
Q15059,7LAY
Q15059,7LAZ
Q15059,7LB4
Q15059,7LBT
Q15059,7R8R
Q15059,7RJK
Q15059,7RJL
Q15059,7RJM
Q15059,7RJN
Q14680,4BKY
Q14680,4BKZ
Q14680,4BL1
Q14680,4D2P
Q14680,4D2T
Q14680,4D2V
Q14680,4D2W
Q14680,4IXP
Q14680,4UMP
Q14680,4UMQ
Q14680,4UMR
Q14680,4UMT
Q14680,4UMU
Q14680,5IH8
Q14680,5IH9
Q14680,5IHA
Q14680,5IHC
Q14680,5K00
Q14680,5M5A
Q14680,5MAF
Q14680,5MAG
Q14680,5MAH
Q14680,5MAI
Q14680,5TVT
Q14680,5TWL
Q14680,5TWU
Q14680,5TWY
Q14680,5TWZ
Q14680,5TX3
Q14680,6GVX
Q14680,6VXR
P29762,7A9Y
P29762,7A9Z
P30530,2C5D
P30530,4RA0
P30530,5U6B
P30530,5VXZ
Q8IVH8,5J5T
Q96PY6,4APC
Q96PY6,4B9D
O15197,7K7J
O15379,4A69
Q16644,3FHR
Q16644,3FXW
Q16644,3R1N
Q16644,3SHE
Q16644,7NRB
P40337,1LM8
P40337,1LQB
P40337,1VCB
P40337,3ZRC
P40337,3ZRF
P40337,3ZTC
P40337,3ZTD
P40337,3ZUN
P40337,4AJY
P40337,4AWJ
P40337,4B95
P40337,4B9K
P40337,4BKS
P40337,4BKT
P40337,4W9C
P40337,4W9D
P40337,4W9E
P40337,4W9F
P40337,4W9G
P40337,4W9H
P40337,4W9I
P40337,4W9J
P40337,4W9K
P40337,4W9L
P40337,4WQO
P40337,5LLI
P40337,5N4W
P40337,5NVV
P40337,5NVW
P40337,5NVX
P40337,5NVY
P40337,5NVZ
P40337,5NW0
P40337,5NW1
P40337,5NW2
P40337,5T35
P40337,6BVB
P40337,6FMI
P40337,6FMJ
P40337,6FMK
P40337,6GFX
P40337,6GFY
P40337,6GFZ
P40337,6GMN
P40337,6GMQ
P40337,6GMR
P40337,6GMX
P40337,6HAX
P40337,6HAY
P40337,6HR2
P40337,6I7Q
P40337,6I7R
P40337,6R6H
P40337,6R7F
P40337,6SIS
P40337,6ZHC
P40337,7CJB
P40337,7JTO
P40337,7JTP
P40337,7KHH
P40337,7PI4
P40337,7Q2J
P40337,7S4E
P40337,7Z6L
P40337,7Z76
P40337,7Z77
P40337,7ZNT
P40337,8BB2
P40337,8BB3
P40337,8BB4
P40337,8BB5
O14976,4C57
O14976,4C58
O14976,4C59
O14976,4O38
O14976,4Y8D
O14976,5Y7Z
O14976,5Y80
Q9NYL2,5HES
Q9NYL2,5X5O
Q9NYL2,6JUT
Q9NYL2,6JUU
O43318,2EVA
O43318,2YIY
O43318,4GS6
O43318,4L3P
O43318,4L52
O43318,4L53
O43318,4O91
O43318,5E7R
O43318,5GJD
O43318,5GJF
O43318,5GJG
O43318,5J7S
O43318,5J8I
O43318,5J9L
O43318,5JGA
O43318,5JGB
O43318,5JGD
O43318,5JH6
O43318,5JK3
O43318,5V5N
O43318,7NTH
O43318,7NTI
Q00534,1BI7
Q00534,1BI8
Q00534,1BLX
Q00534,1G3N
Q00534,1JOW
Q00534,1XO2
Q00534,2EUF
Q00534,2F2C
Q00534,3NUP
Q00534,3NUX
Q00534,4AUA
Q00534,4EZ5
Q00534,4TTH
Q00534,5L2I
Q00534,5L2S
Q00534,5L2T
Q00534,6OQL
Q00534,6OQO
P49336,3RGF
P49336,4CRL
P49336,4F6S
P49336,4F6U
P49336,4F6W
P49336,4F70
P49336,4F7J
P49336,4F7L
P49336,4F7N
P49336,4F7S
P49336,4G6L
P49336,5BNJ
P49336,5CEI
P49336,5FGK
P49336,5HBE
P49336,5HBH
P49336,5HBJ
P49336,5HNB
P49336,5HVY
P49336,5I5Z
P49336,5ICP
P49336,5IDN
P49336,5IDP
P49336,5XQX
P49336,5XS2
P49336,6QTG
P49336,6QTJ
P49336,6R3S
P49336,6T41
P49336,6TPA
P49336,6Y0A
O60566,2WVI
O60566,3SI5
O60566,4GGD
O60566,5JJA
O60566,5K6S
O60566,5KHU
O60566,5LCW
O60566,5SWF
O60566,6TLJ
P03372,1A52
P03372,1ERE
P03372,1ERR
P03372,1G50
P03372,1GWQ
P03372,1GWR
P03372,1HCP
P03372,1HCQ
P03372,1L2I
P03372,1PCG
P03372,1QKT
P03372,1QKU
P03372,1R5K
P03372,1SJ0
P03372,1UOM
P03372,1X7E
P03372,1X7R
P03372,1XP1
P03372,1XP6
P03372,1XP9
P03372,1XPC
P03372,1XQC
P03372,1YIM
P03372,1YIN
P03372,1ZKY
P03372,2AYR
P03372,2B1V
P03372,2B1Z
P03372,2B23
P03372,2BJ4
P03372,2FAI
P03372,2G44
P03372,2G5O
P03372,2I0J
P03372,2IOG
P03372,2IOK
P03372,2JF9
P03372,2JFA
P03372,2LLO
P03372,2LLQ
P03372,2OCF
P03372,2OUZ
P03372,2P15
P03372,2POG
P03372,2Q6J
P03372,2Q70
P03372,2QA6
P03372,2QA8
P03372,2QAB
P03372,2QE4
P03372,2QGT
P03372,2QGW
P03372,2QH6
P03372,2QR9
P03372,2QSE
P03372,2QXM
